3/24/2022 12:54:01 AM	nv01		Đăng nhập	
3/24/2022 12:54:35 AM	nv01		Đăng nhập	
3/24/2022 1:06:44 AM	nv01		Đăng nhập	
3/24/2022 1:07:00 AM		Bảng Hàng Hóa	Truy Cập	
3/24/2022 1:07:13 AM		Bảng Hàng Hóa	Sửa	
3/24/2022 7:02:50 AM	nv01		Đăng nhập	
3/24/2022 7:02:57 AM		Bảng khách hàng	Truy cập	
3/24/2022 10:01:52 AM	nv01		Đăng nhập	
3/24/2022 10:04:37 AM	nv01		Đăng nhập	
3/24/2022 10:05:30 AM	NV01		Đăng nhập	
3/24/2022 10:06:36 AM	NV01		Đăng nhập	
3/24/2022 10:07:42 AM	NV01		Đăng nhập	
3/24/2022 10:09:30 AM	nv01		Đăng nhập	
3/24/2022 10:11:55 AM	NV01		Đăng nhập	
3/24/2022 10:12:47 AM	NV01		Đăng nhập	
3/24/2022 10:14:02 AM	nv01		Đăng nhập	
3/24/2022 10:14:44 AM	nv01		Đăng nhập	
3/24/2022 10:18:16 AM	nv01		Đăng nhập	
3/24/2022 10:18:39 AM	nv01		Đăng nhập	
3/24/2022 10:18:57 AM		Bảng Hàng Hóa	Truy Cập	
3/24/2022 10:19:12 AM	nv01		Đăng nhập	
3/24/2022 10:21:19 AM	nv01		Đăng nhập	
3/24/2022 10:21:49 AM		Bảng Hàng Hóa	Truy Cập	
3/24/2022 10:22:19 AM	nv01		Đăng nhập	
3/24/2022 10:22:41 AM	nv01		Đăng nhập	
3/24/2022 10:24:54 AM	nv01		Đăng nhập	
3/24/2022 11:30:01 AM	nv01		Đăng nhập	
3/24/2022 11:39:34 AM	nv01		Đăng nhập	
3/24/2022 11:51:59 AM	nv01		Đăng nhập	
3/24/2022 11:53:18 AM	nv01		Đăng nhập	
3/24/2022 11:55:12 AM	nv01		Đăng nhập	
3/24/2022 6:08:10 PM	nv01		Đăng nhập	
3/25/2022 12:17:23 AM	nv01		Đăng nhập	
3/25/2022 12:21:45 AM	nv01		Đăng nhập	
3/25/2022 12:26:04 AM	nv01		Đăng nhập	
3/25/2022 12:26:51 AM	nv01		Đăng nhập	
3/25/2022 12:28:33 AM	nv01		Đăng nhập	
3/25/2022 12:29:23 AM	nv01		Đăng nhập	
3/25/2022 12:29:56 AM	nv01		Đăng nhập	
3/25/2022 12:30:09 AM		Bảng CTHD	Truy Cập	
3/25/2022 12:30:18 AM		Bảng CTHD	In Hóa Đơn	
3/26/2022 7:01:15 PM	nv01		Đăng nhập	
3/26/2022 7:25:08 PM	nv01		Đăng nhập	
3/26/2022 7:47:13 PM	nv01		Đăng nhập	
3/26/2022 7:54:02 PM	nv01		Đăng nhập	
3/26/2022 7:58:16 PM	nv01		Đăng nhập	
3/26/2022 8:06:30 PM	nv01		Đăng nhập	
3/26/2022 8:06:43 PM		Bảng CTHD	Truy Cập	
3/26/2022 8:14:28 PM	nv01		Đăng nhập	
3/26/2022 8:16:21 PM	nv01		Đăng nhập	
3/26/2022 8:25:13 PM	nv01		Đăng nhập	
3/26/2022 8:26:06 PM	nv02		Đăng nhập	
3/28/2022 8:58:20 PM	nv01		Đăng nhập	
3/28/2022 8:58:49 PM	nv02		Đăng nhập	
3/28/2022 8:59:23 PM		Bảng Hàng Hóa	Truy Cập	
3/28/2022 10:16:21 PM	nv02		Đăng nhập	
3/28/2022 10:17:42 PM	nv02		Đăng nhập	
3/28/2022 10:21:23 PM	nv02		Đăng nhập	
3/28/2022 10:42:42 PM	nv02		Đăng nhập	
3/28/2022 10:42:48 PM		Bảng Hàng Hóa	Truy Cập	
3/28/2022 10:47:47 PM	nv02		Đăng nhập	
3/28/2022 10:48:04 PM		Bảng Hàng Hóa	Truy Cập	
3/29/2022 3:30:31 PM	NV02		Đăng nhập	
3/29/2022 3:30:39 PM		Bảng Hàng Hóa	Truy Cập	
3/29/2022 3:32:31 PM	nv02		Đăng nhập	
3/29/2022 3:32:37 PM		Bảng Hàng Hóa	Truy Cập	
3/29/2022 3:34:00 PM	nv01		Đăng nhập	
3/29/2022 3:34:07 PM		Bảng Hàng Hóa	Truy Cập	
3/29/2022 3:41:24 PM	nv02		Đăng nhập	
3/29/2022 3:41:29 PM		Bảng Hàng Hóa	Truy Cập	
3/29/2022 3:41:42 PM		Bảng CTHD	Truy Cập	
3/29/2022 3:42:21 PM	nv02		Đăng nhập	
3/29/2022 3:42:25 PM		Bảng Hàng Hóa	Truy Cập	
3/29/2022 3:47:25 PM	nv02		Đăng nhập	
3/29/2022 3:47:30 PM		Bảng Hàng Hóa	Truy Cập	
3/29/2022 3:47:37 PM		Bảng CTHD	Truy Cập	
3/29/2022 3:47:41 PM		Bảng CTHD	Truy Cập	
3/29/2022 3:47:45 PM		Bảng khách hàng	Truy cập	
3/29/2022 3:47:51 PM		Bảng khách hàng	Truy cập	
3/29/2022 3:49:02 PM	nv02		Đăng nhập	
